entity CFIHOS unique id,entity name,entity definition,attribute CFIHOS unique id,attribute name,entity attribute name,entity attribute definition,constraint must be present in,identifier / mandatory / optional,attribute data type
CFIHOS-00000009,company,"A legal entity engaged in business as a proprietorship, partnership, corporation, or other form",CFIHOS-10000151,ISO country code,,The country where the company address is located,ISO country,Mandatory,CFIHOS-00000039
CFIHOS-00000009,company,"A legal entity engaged in business as a proprietorship, partnership, corporation, or other form",CFIHOS-10000149,company address line 1,,The first line of the address of the company,,Mandatory,String
CFIHOS-00000009,company,"A legal entity engaged in business as a proprietorship, partnership, corporation, or other form",CFIHOS-10000185,company address line 2,,The second line of the address of the company,,Optional,String
CFIHOS-00000009,company,"A legal entity engaged in business as a proprietorship, partnership, corporation, or other form",CFIHOS-10000186,company address line 3,,The third line of the address of the company,,Optional,String
CFIHOS-00000009,company,"A legal entity engaged in business as a proprietorship, partnership, corporation, or other form",CFIHOS-10000038,company contact person,,The name of the person to contact in the company,,Mandatory,String
CFIHOS-00000009,company,"A legal entity engaged in business as a proprietorship, partnership, corporation, or other form",CFIHOS-10000039,company contact person function,,A description of the role of the contact person within the organization of the company.,,Optional,String
CFIHOS-00000009,company,"A legal entity engaged in business as a proprietorship, partnership, corporation, or other form",CFIHOS-10000155,company email address,,The official email address of the company,,Optional,String
CFIHOS-00000009,company,"A legal entity engaged in business as a proprietorship, partnership, corporation, or other form",CFIHOS-10000156,company fax number,,The official fax number of the company,,Optional,String
CFIHOS-00000009,company,"A legal entity engaged in business as a proprietorship, partnership, corporation, or other form",CFIHOS-10000150,company name,,A name used to uniquely identify the company,,Identifier,String
CFIHOS-00000009,company,"A legal entity engaged in business as a proprietorship, partnership, corporation, or other form",CFIHOS-10000167,company telephone number,,The official telephone number of the company,,Optional,String
CFIHOS-00000009,company,"A legal entity engaged in business as a proprietorship, partnership, corporation, or other form",CFIHOS-10000036,manufacturer indicator,,An indicator whether the company is a manufacturer or not,,Mandatory,Boolean
CFIHOS-00000009,company,"A legal entity engaged in business as a proprietorship, partnership, corporation, or other form",CFIHOS-10000037,supplier indicator,,An indicator whether the company is a supplier or not,,Mandatory,Boolean
CFIHOS-00000039,ISO country,"A country, as recognized by ISO in its 3166-1 standard",CFIHOS-10000151,ISO country code,,The country where the company address is located,,Identifier,String
CFIHOS-00000039,ISO country,"A country, as recognized by ISO in its 3166-1 standard",CFIHOS-10000188,ISO country name,,"The name assigned by ISO to the country, in its 3166-1 standard",,Mandatory,String
CFIHOS-00000040,engineering status,A phase of the engineering activities,CFIHOS-10000189,engineering status code,,A code that uniquely identifies an engineering phase or status,,Identifier,String
CFIHOS-00000040,engineering status,A phase of the engineering activities,CFIHOS-10000190,engineering status description,,The description of what the engineering status or phase represents,,Mandatory,String
CFIHOS-00000075,measurement system,A collection of units of measure related to each other,CFIHOS-10000240,measurement system code,,A code that uniquely identifies the measurement system,,Identifier,String
CFIHOS-00000075,measurement system,A collection of units of measure related to each other,CFIHOS-10000241,measurement system name,,The name under which the measurement system is known,,Optional,String
CFIHOS-00000007,maintenance system,A grouping of tags  that can be maintained at the same time,CFIHOS-10000017,maintenance system actual startup date,,The date at which the maintenance system has been started for the first time (on a continuous basis),,Optional,Timestamp
CFIHOS-00000007,maintenance system,A grouping of tags  that can be maintained at the same time,CFIHOS-10000015,maintenance system code,,A code that uniquely identifies the maintenance system within a maintenance unit,,Identifier,String
CFIHOS-00000007,maintenance system,A grouping of tags  that can be maintained at the same time,CFIHOS-10000016,maintenance system name,,The name by which the maintenance system is usually designated,,Mandatory,String
CFIHOS-00000007,maintenance system,A grouping of tags  that can be maintained at the same time,CFIHOS-10000013,maintenance unit code,,A code that uniquely identifies the maintenance unit at a plant,maintenance unit,Identifier,CFIHOS-00000006
CFIHOS-00000007,maintenance system,A grouping of tags  that can be maintained at the same time,CFIHOS-10000005,plant code,,A code that uniquely identifies the plant,plant,Identifier,CFIHOS-00000031
CFIHOS-00000012,equipment,A physical device designed to perform a function,CFIHOS-10000193,ISO currency code,,The currency in which the price of the equipment is labelled.,ISO currency,Optional,CFIHOS-00000042
CFIHOS-00000012,equipment,A physical device designed to perform a function,CFIHOS-10000047,equipment class name,,The full name of the tag or equipment class,equipment class,Mandatory,CFIHOS-00000033
CFIHOS-00000012,equipment,A physical device designed to perform a function,CFIHOS-10000158,manufacturer company name,,A name used to uniquely identify the company who manufactures the model / part,company,Optional,CFIHOS-00000008
CFIHOS-00000012,equipment,A physical device designed to perform a function,CFIHOS-10000159,model part name,,A unique name to identify the model part of the manufacturer,model part,Optional,CFIHOS-00000008
CFIHOS-00000012,equipment,A physical device designed to perform a function,CFIHOS-10000005,plant code,,A code that uniquely identifies the plant,plant,Optional,CFIHOS-00000028
CFIHOS-00000012,equipment,A physical device designed to perform a function,CFIHOS-10000180,purchase order issuer company name,,The name of the company issuing the purchase order for the acquisition of the tag,company,Optional,CFIHOS-00000105
CFIHOS-00000012,equipment,A physical device designed to perform a function,CFIHOS-10000299,purchase order item number,,A code that uniquely identifies an item in a purchase order through which this equipment was acquired,purchase order item,Optional,CFIHOS-00000105
CFIHOS-00000012,equipment,A physical device designed to perform a function,CFIHOS-10000128,purchase order number,,The purchase order number that contains all specifications for the tag,purchase order,Optional,CFIHOS-00000105
CFIHOS-00000012,equipment,A physical device designed to perform a function,CFIHOS-10000166,tag name,,The full name of a tag,tag,Optional,CFIHOS-00000028
CFIHOS-00000012,equipment,A physical device designed to perform a function,CFIHOS-10000164,vendor company name,,The name of the company supplying (vendor) the equipment,company,Optional,CFIHOS-00000009
CFIHOS-00000012,equipment,A physical device designed to perform a function,CFIHOS-10000169,equipment actual installation date,,The date at which the equipment was actually installed,,Optional,Timestamp
CFIHOS-00000012,equipment,A physical device designed to perform a function,CFIHOS-10000032,equipment actual purchase date,,The date at which the equipment was actually purchased,,Optional,Timestamp
CFIHOS-00000012,equipment,A physical device designed to perform a function,CFIHOS-10000033,equipment actual startup date,,The date at which the equipment was actually started up,,Optional,Timestamp
CFIHOS-00000012,equipment,A physical device designed to perform a function,CFIHOS-10000031,equipment code,,A code used to identify uniquely the equipment.,,Identifier,String
CFIHOS-00000012,equipment,A physical device designed to perform a function,CFIHOS-10000163,equipment manufacturer serial number,,A unique identification number for the equipment as prescribed by the manufacturer,,Optional,String
CFIHOS-00000012,equipment,A physical device designed to perform a function,CFIHOS-10000170,equipment price,,"The price of the equipment for accounting, excluding freight, shipping and insurance costs",,Optional,Float
CFIHOS-00000012,equipment,A physical device designed to perform a function,CFIHOS-10000035,equipment warranty end date,,The date at which the warrant on the equipment will end,,Optional,Timestamp
CFIHOS-00000012,equipment,A physical device designed to perform a function,EPC-10010007,procurement package name,,The referable name of a procurement package.,Procurement Package,Optional,EPC-00010001
