"CFIHOS unique id","CFIHOS name","CFIHOS description","created date","modified date","terminated date","change request number","status","CFIHOS definition file"
"CFIHOS-00000001","site","A geographical surface that can be identified on a map","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000002","process unit","A decomposition of the high level Facility function into more granular sub-functions","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000003","area","A geographical surface occupied by a Plant","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000004","commissioning unit","A grouping of tags (if the commissioning unit is at the lowest level in the structure), or sub-commissioning units, by the commissioning discipline","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000006","maintenance unit","A grouping of maintenance system by the maintenance discipline. This grouping allows one to perform maintenance activities","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000007","maintenance system","A grouping of tags  that can be maintained at the same time","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000008","model part","A type of equipment that is manufactured by a manufacturer","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000009","company","A legal entity engaged in business as a proprietorship, partnership, corporation, or other form","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000010","corrosion loop","A grouping of tags with similar operating conditions, e.g. pipe, equipment, .. (i.e., made of similar materials of construction, sharing similar corrosion/degradation rate)","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000011","corrosion loop type","A classification of corrosion loops","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000012","equipment","A physical device designed to perform a function","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000013","equipment property","A characteristic, or property, that an equipment has","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000014","model part property","A characteristic, or property, than an equipment model has","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000015","tag property","A characteristic, or property, that a tag has","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000016","tag class property","A characteristic, or property, that a tag class has","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000017","equipment class property","A characteristic, or property, that an equipment class has","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000019","property picklist","A set of possible values that can be assigned to a property","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000020","property picklist value","A predefined value that can be assigned to a property, in the context of a property picklist","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000021","discipline","A branch of knowledge of expertise which is responsible for the content of the deliverable","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000022","document master","A placeholder that allows a project to identify a particular information content to be created or updated","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000023","additional file","A file that makes up a particular document revision.","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000024","transmittal","An exchange of information between two companies","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000026","construction assembly","A grouping of tags intended to be assembled and installed as a whole","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000027","discipline document type","An identification of what type of document is required for what discipline, and what are their delivery requirements","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000028","tag","An object designed for performing functional requirements and serving as a specification for equipment","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000029","property","A type of feature that is used to distinguish and describe tags, equipment, models) or their class","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000030","project","A temporary endeavour undertaken to create an asset or a service","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000031","plant","An assembly of equipment that perform a physical or chemical process, including production, transportation and storage","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000032","document type","A classification of documents","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000033","equipment class","A classification of equipment and equipment models, according to its physical assembly of component(s)","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000034","tag class","A classification of tags according to the functions they are required to perform","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000035","document revision","A user-readable set of data structured in order to be printed and stored as a whole (includes drawings)","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000036","purchase order","A commercial document used to request a third party to supply goods or services in return for payment","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000037","leaf node commissioning unit","A commissioning unit that is at the lowest level in the hierarchical structure of commissioning units","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000038","tag physical connection","A physical connection between tags","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
"CFIHOS-00000039","ISO country","A country, as recognized by ISO in its 3166-1 standard","2021-10-06T17:17:05.556Z","2021-10-06T17:17:05.556Z",,"FR3","STANDARD","entities"
