CFIHOS ID,name,inherited core model type,inherited from space,type version,description
CFIHOS-00000001,site,"CogniteAsset","cdf_cdm","v1","asset instance representing a site"
CFIHOS-00000002,process unit,"CogniteAsset","cdf_cdm","v1","asset instance representing a process unit"
CFIHOS-00000003,area,"CogniteAsset","cdf_cdm","v1","asset instance representing an area"
CFIHOS-00000004,comissioning unit,"CogniteDescribable","cdf_cdm","v1","name and description of the comissioning unit"
CFIHOS-00000006,maintenance unit,"CogniteDescribable","cdf_cdm","v1","name and description of the maintenance unit"
CFIHOS-00000007,maintenance system,"CogniteDescribable","cdf_cdm","v1","name and description of the maintenance system"
CFIHOS-00000008,model part,"CogniteDescribable","cdf_cdm","v1","name and description of the model part"
CFIHOS-00000009,company,"CogniteDescribable","cdf_cdm","v1","name and description of the company"
CFIHOS-00000010,corrosion loop,"CogniteDescribable","cdf_cdm","v1","name and description of the corrosion loop"
CFIHOS-00000011,corrosion loop type,"CogniteDescribable","cdf_cdm","v1","name and description of the corrosion loop type"
CFIHOS-00000012,equipment,"CogniteEquipment","cdf_cdm","v1","equipment instance extension representing CFIHOS equipment "
CFIHOS-00000021,discipline,"CogniteDescribable","cdf_cdm","v1","name and description of the discipline"
CFIHOS-00000022,document master,"CogniteDescribable","cdf_cdm","v1","name and description of the document"
CFIHOS-00000022,document master,"CogniteSourceable","cdf_cdm","v1","source of the document"
CFIHOS-00000023,additional file,"CogniteFile","cdf_cdm","v1","File instance representing an additional file"
CFIHOS-00000024,transmittal,"CogniteDescribable","cdf_cdm","v1","name and description of the transmittal"
CFIHOS-00000026,construction assembly,"CogniteDescribable","cdf_cdm","v1","name and description of the construction assembly"
CFIHOS-00000027,discipline document type,"CogniteDescribable","cdf_cdm","v1","name and description of the discipline document type"
CFIHOS-00000028,tag,"CogniteAsset","cdf_cdm","v1","asset instance representing a tag"
CFIHOS-00000028,tag,"Cdf3dEntity","cdf_3d_schema","1","3D model of the tag"
CFIHOS-00000030,project,"CogniteAsset","cdf_cdm","v1","asset instance representing a project"
CFIHOS-00000031,plant,"CogniteAsset","cdf_cdm","v1","asset instance representing a plant"
CFIHOS-00000032,document type,"CogniteDescribable","cdf_cdm","v1","name and description of the document type"
CFIHOS-00000033,equipment class,"CogniteEquipmentType","cdf_cdm","v1","equipment type instance representing a type of equipment according to ISO 14224:2006"
CFIHOS-00000034,tag class,"CogniteAssetClass","cdf_cdm","v1","asset class instance representing a class of an asset according to ISO 14224:2006"
CFIHOS-00000035,document revision,"CogniteDescribable","cdf_cdm","v1","name and description of the document revision"
CFIHOS-00000035,document revision,"CogniteSourceable","cdf_cdm","v1","source of the document revision"
CFIHOS-00000036,purchase order,"CogniteDescribable","cdf_cdm","v1","name and description of the purchase order"
CFIHOS-00000037,leaf node comissioning unit,"CogniteDescribable","cdf_cdm","v1","name and description of the leaf node comissioning unit"
CFIHOS-00000039,ISO country,"CogniteDescribable","cdf_cdm","v1","name and description of the ISO country"
CFIHOS-00000040,engineering status,"CogniteDescribable","cdf_cdm","v1","name and description of the engineering status"
CFIHOS-00000041,safety critical item group,"CogniteDescribable","cdf_cdm","v1","name and description of the safety critical item group"
CFIHOS-00000042,ISO currency,"CogniteDescribable","cdf_cdm","v1","name and description of the ISO currency"
CFIHOS-00000043,document status,"CogniteDescribable","cdf_cdm","v1","name and description of the document status"
CFIHOS-00000044,ISO language,"CogniteDescribable","cdf_cdm","v1","name and description of the ISO language"
CFIHOS-00000045,export control classification,"CogniteDescribable","cdf_cdm","v1","name and description of the export control classification"
CFIHOS-00000047,project stage,"CogniteDescribable","cdf_cdm","v1","name and description of the project stage"
CFIHOS-00000048,reason for issue,"CogniteDescribable","cdf_cdm","v1","name and description of the reason for issue"
CFIHOS-00000054,document type classification,"CogniteDescribable","cdf_cdm","v1","name and description of the document type classification"
CFIHOS-00000056,asset type,"CogniteDescribable","cdf_cdm","v1","name and description of the asset type"
CFIHOS-00000057,document representation type,"CogniteDescribable","cdf_cdm","v1","name and description of the document representation type"
CFIHOS-00000058,document format,"CogniteDescribable","cdf_cdm","v1","name and description of the document format"
CFIHOS-00000060,document review type,"CogniteDescribable","cdf_cdm","v1","name and description of the document review type"
CFIHOS-00000072,unit of measure dimension,"CogniteDescribable","cdf_cdm","v1","name and description of the unit of measure dimension"
CFIHOS-00000073,unit of measure,"CogniteDescribable","cdf_cdm","v1","name and description of the unit of measure"
CFIHOS-00000075,measurement system,"CogniteDescribable","cdf_cdm","v1","name and description of the measurement system"
CFIHOS_00000088,storage media,"CogniteEquipment","cdf_cdm","v1","name and description of the storage media"
CFIHOS_00000090,tag or equipment class,"CogniteDescribable","cdf_cdm","v1","name and description of the tag or equipment class"
CFIHOS-00000105,purchase order system,"CogniteDescribable","cdf_cdm","v1","name and description of the purchase order system"
CFIHOS-00000135,native file delivery timing,"CogniteDescribable","cdf_cdm","v1","name and description of the native file delivery timing"

